name,lon,lat
Agios Efstratios,25.00635817,39.51743729
Chios,26.01645711,38.40162418
Fournoi Korseon,26.49210805,37.5896492
Icaria,26.15209723,37.59620132
Lemnos,25.22530577,39.91385698
Lesbos,26.24317151,39.16932619
Oinousses,26.23826798,38.51929352
Psara,25.57476139,38.56915738
Samos,26.81100881,37.73337628
Agathonisi,26.96850069,37.46245472
Amorgos,25.89477143,36.84658114
Anafi,25.78630811,36.36114826
Andros,24.84878933,37.85729797
Antiparos,25.04215331,36.99253808
Astypalaia,26.3802342,36.54374143
Chalki,27.60245194,36.23750915
Folegandros,24.9020056,36.62780583
Ios,25.33118127,36.72016453
Kalymnos,26.99177965,36.98743657
Karpathos,27.15626619,35.61548378
Kasos,26.91746429,35.39285044
Kea,24.30434384,37.62529203
Kimolos,24.58418496,36.79484963
Kos,27.1337781,36.81823039
Kythnos,24.41725308,37.39154595
Leipsoi,26.75194498,37.30063862
Leros,26.75556466,37.12735522
Milos,24.42336322,36.70878812
Mykonos,25.35398498,37.44462181
Naxos and Lesser Cyclades,25.50210194,37.04100376
Nisyros,27.1516399,36.59239004
Paros,25.1927632,37.05983194
Patmos,26.59593157,37.3421144
Rhodes,27.95232477,36.18443922
Santorini,25.41885284,36.40005804
Serifos,24.48446535,37.16247064
Sifnos,24.70198701,36.97068767
Sikinos,25.1168423,36.67746634
Symi,27.83508013,36.59498017
Syros-Ermoupoli,24.87891349,37.46410877
Tilos,27.36342981,36.42870133
Tinos,25.13173706,37.60404365
Athos,24.19595779,40.26736202
Acharnes,23.75117871,38.14808221
Aegina,23.48015967,37.73738632
Agia Paraskevi,23.82472169,38.00545816
Agia Varvara,23.65527725,37.98960051
Agioi Anargyroi-Kamatero,23.71171954,38.04461556
Agios Dimitrios,23.7286151,37.93097242
Aigaleo,23.67701559,37.98761352
Alimos,23.72447276,37.91252774
Angistri,23.33894345,37.69561231
Aspropyrgos,23.59684757,38.09088147
Athens,23.73434117,37.98627768
Chaidari,23.62829714,38.00663342
Chalandri,23.80771022,38.01966192
Cythera,23.00749002,36.21960198
Dafni-Ymittos,23.73799996,37.948129
Dionysos,23.88622658,38.11659753
Elefsina,23.53148787,38.07856436
Elliniko-Argyroupoli,23.75096965,37.90064051
Filadelfeia-Chalkidona,23.73664253,38.03678104
Filothei-Psychiko,23.77458416,38.01217285
Fyli,23.66693002,38.12206522
Galatsi,23.75540869,38.01654849
Glyfada,23.77106945,37.88013562
Hydra,23.43254902,37.33145736
Ilio,23.70266963,38.03572762
Ilioupoli,23.76813631,37.92886129
Irakleio,23.77034003,38.04897485
Kaisariani,23.79005613,37.95753004
Kallithea,23.69856196,37.94979396
Keratsini-Drapetsona,23.61745727,37.96312033
Kifisia,23.82471502,38.08572061
Korydallos,23.64447202,37.9824503
Kropia,23.85440213,37.87978301
Lavreotiki,24.01426872,37.74182211
Lykovrysi-Pefki,23.78676684,38.06243116
Mandra-Eidyllia,23.36110447,38.13890988
Marathon,23.97342358,38.1705838
Markopoulo Mesogaias,23.9770164,37.88712536
Marousi,23.80405097,38.04409223
Megara,23.27232799,38.02537663
Metamorfosi,23.7610548,38.06314133
Moschato-Tavros,23.68717883,37.9588083
Nea Ionia,23.75783934,38.03468557
Nea Smyrni,23.71272957,37.94078311
Nikaia-Agios Ioannis Rentis,23.65195785,37.97014778
Oropos,23.78430423,38.25300135
Paiania,23.86647689,37.95537567
Palaio Faliro,23.70038651,37.92766562
Pallini,23.87719124,38.00927866
Papagou-Cholargos,23.80341671,37.98883468
Penteli,23.8909096,38.05234464
Perama,23.58177362,37.97282542
Peristeri,23.68758436,38.01192119
Petroupoli,23.67313183,38.0413335
Piraeus,23.64344286,37.94507361
Poros,23.47782802,37.48486786
Rafina-Pikermi,23.95782606,38.01745906
Salamis Island,23.48028259,37.93851705
Saronikos,23.93888924,37.78468611
Spata-Artemida,23.95876251,37.96498857
Spetses,23.21093513,37.20068147
Troizinia-Methana,23.32967345,37.53130018
Vari-Voula-Vouliagmeni,23.7917034,37.83144987
Vrilissia,23.83566397,38.03656046
Vyronas,23.77669567,37.94687118
Zografou,23.79003344,37.97197691
Agios Nikolaos,25.63256492,35.2197231
Agios Vasileios,24.51088214,35.18144249
Amari,24.67992358,35.20884395
Anogeia,24.86727856,35.24504649
Apokoronas,24.19381489,35.3677962
Archanes-Asterousia,25.17144391,35.0863102
Chania,24.0548859,35.47590809
Chersonisos,25.34118253,35.28487116
Faistos,24.83401303,35.05589926
Gavdos,24.08384024,34.8460909
Gortyna,25.00650588,35.05040471
Heraklion,25.09138032,35.24206496
Ierapetra,25.77418728,35.06095536
Kantanos-Selino,23.72992798,35.29719035
Kissamos,23.62432976,35.42598606
Malevizi,24.97821592,35.3115836
Minoa Pediada,25.29577225,35.13472883
Mylopotamos,24.77486139,35.34181038
Oropedio Lasithiou,25.47451058,35.16037991
Platanias,23.82873657,35.46191658
Rethymno,24.48586221,35.31340426
Sfakia,24.08907593,35.26086505
Sitia,26.12461577,35.13896316
Viannos,25.42366016,35.0441493
Arta,20.93156801,39.17487507
Central Tzoumerka,21.14997273,39.37962329
Dodoni,20.77058961,39.46924918
Filiates,20.33871636,39.65414999
Georgios Karaiskakis,21.24776772,39.22332558
Igoumenitsa,20.34590645,39.42973141
Ioannina,20.88356567,39.64073796
Konitsa,20.82470925,40.14295151
Metsovo,21.13576573,39.77162606
Nikolaos Skoufas,21.04840712,39.12994024
North Tzoumerka,21.05710799,39.54493411
Parga,20.53138251,39.2586356
Pogoni,20.50421718,39.91635676
Preveza,20.70600113,39.14018448
Souli,20.52885006,39.44341852
Zagori,20.87887565,39.87891609
Ziros,20.83933658,39.28054772
Zitsa,20.63558483,39.69167126
Amyntaio,21.63309127,40.67267009
Deskati,21.72940692,39.93239313
Eordaia,21.71644245,40.51992571
Florina,21.4843199,40.80116297
Grevena,21.36285512,40.04297634
Kastoria,21.25376792,40.56040219
Kozani,21.83275427,40.31036797
Nestorio,20.9692895,40.36712517
Orestida,21.27035952,40.41111704
Prespes,21.11838141,40.75654304
Servia-Velventos,21.97409256,40.15660528
Voio,21.3619583,40.28231905
Alexandria,22.4617437,40.59154799
Almopia,22.0771359,41.01600034
Ampelokipoi-Menemeni,22.89034243,40.65431902
Amphipolis,23.94268021,40.90362141
Aristotelis,23.72235454,40.48138586
Chalkidona,22.65436449,40.74098427
Delta,22.743053,40.619286
Dio-Olympos,22.48253117,40.10366518
Edessa,21.9276069,40.79537864
Emmanouil Pappas,23.67969857,41.05088295
Irakleia,23.28540421,41.12012632
Kalamaria,22.95534344,40.57770292
Kassandra,23.48405832,40.01373127
Katerini,22.37136788,40.27591793
Kilkis,22.89881447,41.03996637
Kordelio-Evosmos,22.90152211,40.67349161
Langadas,23.20435541,40.77369178
Naousa,22.05165264,40.63025927
Nea Propontida,23.20436199,40.31531516
Nea Zichni,23.86110161,41.018604
Neapoli-Sykies,22.97372851,40.64947008
Oraiokastro,22.90551019,40.75894868
Paionia,22.51101443,41.00119986
Pavlos Melas,22.95166967,40.67935334
Pella,22.37564775,40.79619132
Polygyros,23.42738461,40.40280064
Pydna-Kolindros,22.51316706,40.44184954
Pylaia-Chortiatis,23.05481187,40.61232403
Serres,23.54261907,41.12835198
Sintiki,23.26548872,41.2817483
Sithonia,23.82871503,40.12699748
Skydra,22.16775033,40.80496554
Thermaikos,22.92310741,40.43567646
Thermi,23.07877858,40.48662237
Thessaloniki,22.95199892,40.62066186
Veria,22.18699289,40.4781052
Visaltia,23.5650043,40.89053608
Volvi,23.49001029,40.69105239
Abdera,24.99008969,41.04338644
Alexandroupoli,25.97434066,40.92544112
Arriana,25.72513627,41.18950788
Didymoteicho,26.38247598,41.4021687
Doxato,24.24714621,41.06618367
Drama,24.21293509,41.30422644
Iasmos,25.21687774,41.145699
Kato Nevrokopi,23.92516817,41.36965906
Kavala,24.40216942,41.01125973
Komotini,25.38528508,41.10477791
Maroneia-Sapes,25.59154153,40.99744688
Myki,24.95729851,41.28544298
Nestos,24.63525077,41.03220431
Orestiada,26.35377194,41.5883788
Pangaio,24.13378536,40.85049828
Paranesti,24.47349166,41.33857357
Prosotsani,23.93954511,41.18198083
Samothrace,25.58481811,40.45429646
Soufli,26.15482702,41.18667759
Thasos,24.65347116,40.68514964
Topeiros,24.80789045,41.01219757
Xanthi,24.76442924,41.20586553
Cephalonia,20.57810131,38.22432436
Corfu,19.83561564,39.64049096
Ithaca,20.73587307,38.40512857
Lefkada,20.67298168,38.69902236
Meganisi,20.76754409,38.64884597
Paxi,20.17404706,39.19737109
Zakynthos,20.77565047,37.78283106
Argos-Mykines,22.62363264,37.66070801
Corinth,22.94296272,37.8128391
East Mani,22.4495792,36.67242834
Elafonisos,22.96219614,36.48689379
Epidaurus,23.07085468,37.61082242
Ermionida,23.21726499,37.42472777
Evrotas,22.70580493,36.92909118
Gortynia,22.00527282,37.67703978
Kalamata,22.13440072,37.10036627
Loutraki-Agioi Theodoroi,23.02595142,37.99206343
Megalopolis,22.11461387,37.35633186
Messini,21.89171537,37.05062055
Monemvasia,22.97323595,36.72899978
Nafplio,22.92676255,37.59864276
Nemea,22.64964954,37.82616494
North Kynouria,22.64474222,37.35397073
Oichalia,21.9401123,37.30479719
Pylos-Nestor,21.77787455,36.91423848
Sikyona,22.46568485,37.91530475
South Kynouria,22.80320711,37.13991457
Sparti,22.45115819,37.11072009
Trifylia,21.70890321,37.2087166
Tripoli,22.34366498,37.5312363
Velo-Vocha,22.74015778,37.91332707
West Mani,22.28176991,36.90814242
Xylokastro-Evrostina,22.49106982,38.03685651
Agrinio,21.45331127,38.65052824
Aigialeia,22.1368855,38.15257856
Aktio-Vonitsa,20.95086324,38.82206772
Amfilochia,21.28419471,38.95405489
Andravida-Kyllini,21.32394249,37.95824075
Andritsaina-Krestena,21.77546059,37.54521267
Erymanthos,21.76634496,38.02195411
Ilida,21.44938168,37.83275398
Kalavryta,22.04832082,37.95810673
Missolonghi,21.32157991,38.41797576
Nafpaktia,21.825556,38.53071783
Olympia,21.72029689,37.75880703
Patras,21.79381425,38.21355692
Pineios,21.25545901,37.86429508
Pyrgos,21.48722491,37.7057093
Thermo,21.69211385,38.59375421
West Achaea,21.51761983,38.06542124
Xiromero,21.11139485,38.61952371
Zacharo,21.72627333,37.46334272
Agrafa,21.57810185,39.07229895
Aliartos,23.08883362,38.35920968
